habitat,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,class
d,x,y,e,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,v,e
d,f,y,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,e
d,x,y,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,y,e
d,f,f,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,e
d,x,y,g,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,y,e
d,x,y,e,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,e
d,x,y,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,y,e
d,x,f,g,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,e
d,x,f,e,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,y,e
d,x,f,n,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,v,e
d,f,f,n,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,y,e
d,f,y,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,v,e
d,x,f,n,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,v,e
d,x,y,e,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,y,e
d,f,f,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,v,e
d,x,y,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,v,e
d,f,f,n,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,y,e
d,x,y,e,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,y,e
d,x,y,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,y,e
d,x,f,g,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,e
d,x,f,g,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,v,e
d,f,f,e,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,e
d,x,f,n,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,y,e
d,x,y,e,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,y,e
d,x,y,g,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,e
d,x,y,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,y,e
d,x,f,e,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,e
d,f,f,n,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,v,e
d,x,y,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,y,e
d,x,y,g,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,v,e
g,x,f,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,e
d,f,y,g,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,y,e
g,f,s,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,s,e
d,f,f,n,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,y,e
d,x,y,e,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,y,e
u,f,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,p
d,x,y,g,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,v,e
d,f,f,n,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,y,e
d,x,f,g,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,y,e
d,x,f,e,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,v,e
d,f,f,g,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,v,e
d,x,y,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,y,e
d,x,y,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,e
d,x,y,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,e
d,x,y,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,y,e
d,f,f,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,e
d,x,y,g,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,y,e
d,x,y,n,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,y,e
d,x,f,e,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,v,e
d,f,f,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,y,e
d,x,f,e,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,e
g,f,s,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,e
d,x,y,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,v,e
d,x,f,g,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,y,e
d,x,f,n,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,y,e
d,x,f,e,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,y,e
d,f,f,n,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,e
d,x,f,n,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,e
d,x,y,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,e
u,f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,p
d,x,f,g,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,v,e
g,f,s,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,e
g,x,s,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,e
d,x,f,g,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,v,e
d,f,f,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,y,e
d,x,f,e,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,v,e
d,x,y,g,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,v,e
d,f,f,n,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,e
d,x,f,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,v,e
d,x,f,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,p
d,x,y,e,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,y,e
g,x,f,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,a,e
g,x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,p
d,x,y,g,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,y,e
d,f,f,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,v,e
d,x,f,n,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,y,e
d,x,y,g,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,v,e
d,x,y,g,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,e
d,f,f,n,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,v,e
d,f,f,n,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,y,e
d,x,f,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,v,e
d,f,f,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,y,e
d,x,y,e,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,y,e
d,x,f,e,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,e
g,x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,p
d,f,f,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,e
d,x,f,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,e
d,f,y,e,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,v,e
d,f,y,g,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,v,e
d,x,y,n,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,v,e
d,x,y,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,y,e
d,x,f,e,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,y,e
d,x,y,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,y,e
d,f,f,g,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,y,e
d,x,f,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,v,e
d,f,f,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,v,e
d,x,y,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,e
d,x,y,g,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,e
d,x,f,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,v,e
d,x,y,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,y,e
d,f,f,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,v,e
d,x,y,n,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,y,e
d,x,y,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,y,e
d,f,f,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,v,e
d,x,f,n,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,y,e
d,x,f,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,v,e
d,x,y,n,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,y,e
d,f,f,g,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,y,e
d,x,f,e,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,e
d,f,f,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,v,e
d,x,s,p,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,k,v,p
d,x,f,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,y,e
d,f,f,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,y,e
d,x,f,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,e
d,f,f,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,v,e
d,x,y,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,y,e
d,x,f,g,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,y,e
d,x,f,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,y,e
d,x,f,g,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,v,e
d,x,f,g,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,y,e
d,f,f,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,e
d,x,f,e,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,v,e
d,f,y,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,y,e
d,f,y,e,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,v,e
d,x,y,g,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,e
d,x,y,g,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,e
d,x,f,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,e
g,x,f,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,p
d,x,y,n,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,e
d,x,y,e,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,y,e
d,x,f,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,v,e
d,f,f,n,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,e
d,f,f,n,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,v,e
d,f,f,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,e
d,f,f,g,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,e
d,x,y,g,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,y,e
g,x,f,g,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,e
d,x,y,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,e
d,x,f,e,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,y,e
d,f,f,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,v,e
d,x,y,e,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,y,e
d,x,f,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,v,e
d,x,f,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,e
d,x,y,e,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,e
d,x,f,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,v,e
d,f,f,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,y,e
d,x,y,g,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,y,e
d,x,y,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,e
d,f,f,n,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,y,e
d,x,f,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,v,e
d,f,f,n,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,e
d,x,y,e,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,v,e
d,x,f,n,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,y,e
d,x,y,g,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,v,e
d,f,f,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,e
d,x,f,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,e
d,x,f,n,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,v,e
d,x,y,g,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,v,e
d,x,y,g,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,y,e
d,x,y,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,v,e
d,x,y,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,v,e
d,x,y,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,e
u,f,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,p
g,x,s,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,e
d,x,f,g,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,v,e
d,x,f,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,y,e
d,x,s,p,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,n,s,p
d,x,y,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,e
d,x,f,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,e
d,x,y,n,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,e
d,x,y,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,v,e
g,x,s,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,e
d,f,f,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,e
d,x,y,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,v,e
d,x,y,g,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,e
d,x,f,e,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,y,e
d,x,y,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,v,e
d,x,y,g,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,e
d,x,f,e,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,y,e
u,f,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,p
d,f,f,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,e
d,x,f,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,y,e
d,x,f,e,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,e
d,x,y,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,e
g,f,s,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,e
g,x,f,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,e
d,x,f,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,e
d,f,f,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,e
d,x,y,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,e
d,x,y,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,y,e
d,x,y,e,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,e
d,f,f,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,e
d,x,f,g,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,v,e
d,f,f,n,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,v,e
d,f,f,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,e
d,x,y,e,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,v,e
d,x,s,w,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,n,s,p
d,f,f,n,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,y,e
d,f,f,g,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,y,e
d,f,f,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,v,e
d,x,y,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,v,e
d,x,f,e,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,y,e
g,f,s,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,e
d,x,y,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,y,e
d,x,f,e,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,v,e
d,f,f,n,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,v,e
d,f,f,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,e
d,x,y,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,y,e
d,x,y,g,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,e
d,x,y,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,e
d,x,f,g,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,y,e
d,x,y,n,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,y,e
d,x,y,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,e
d,f,f,n,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,e
d,x,y,g,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,v,e
d,x,y,e,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,e
d,x,y,n,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,y,e
p,x,f,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,p
d,f,f,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,v,e
d,x,y,e,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,v,e
d,x,f,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,p
d,x,y,e,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,e
d,x,f,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,v,e
d,x,f,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p
d,x,f,p,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,n,s,p
d,x,f,g,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,v,e
d,f,f,g,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,y,e
d,x,f,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,e
d,x,y,g,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,e
d,x,y,g,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,v,e
d,f,f,g,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,y,e
d,x,f,g,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,y,e
d,x,f,e,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,e
d,x,f,n,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,y,e
d,x,y,n,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,v,e
d,f,f,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,y,e
d,f,f,n,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,e
d,f,f,g,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,y,e
d,x,f,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,y,e
d,x,y,n,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,v,e
d,x,y,e,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,v,e
d,f,f,n,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,v,e
d,x,y,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,e
d,x,y,n,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,y,e
d,x,f,w,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,k,v,p
d,f,f,n,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,y,e
d,x,y,e,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,v,e
d,x,y,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,y,e
d,f,f,g,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,e
d,x,f,e,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,e
d,x,f,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,p
d,x,y,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,y,e
d,f,f,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,v,e
d,f,y,e,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,v,e
d,x,f,e,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,e
g,x,f,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,p
d,x,y,n,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,y,e
d,x,y,n,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,e
d,x,y,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,v,e
d,x,y,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,e
d,x,y,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,y,e
d,x,y,n,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,y,e
d,x,f,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,e
d,x,y,e,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,y,e
d,x,y,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,v,e
d,x,y,g,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,v,e
d,f,f,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,v,e
d,f,f,n,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,e
d,f,f,n,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,e
d,x,y,g,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,e
d,x,y,g,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,y,e
d,x,f,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,v,e
d,f,f,n,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,e
d,f,f,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,v,e
d,x,y,e,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,y,e
d,x,y,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,e
d,f,f,n,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,y,e
d,f,f,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,v,e
p,x,f,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,p
d,x,f,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,e
d,x,y,n,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,y,e
d,x,f,g,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,y,e
d,x,f,g,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,y,e
d,x,y,g,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,e
d,f,f,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,y,e
d,f,f,g,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,y,e
d,x,y,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,v,e
d,x,f,e,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,y,e
d,f,f,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,v,e
p,x,f,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,p
d,x,f,e,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,v,e
d,f,f,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,e
d,x,f,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,y,e
d,x,f,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,v,e
d,x,y,e,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,y,e
d,f,y,g,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,v,e
d,f,f,n,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,y,e
d,x,f,g,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,y,e
d,f,f,g,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,v,e
d,x,y,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,e
d,x,y,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,e
